"","control","treatment1","treatment2","treatment3","treatment4","sampled_numbers","repeat.","diff","label"
"107",3.2,2.4,2.4,2.8,3.2,25,100,0.8,"blocked"
"108",3.2,3.4,3.2,3.4,3.4,25,100,0.2,"blocked"
"109",3,3.2,2.6,3,3.2,25,100,0.6,"blocked"
"110",3,3,3,3,3.6,25,100,0.6,"blocked"
"111",3,2.8,3,3,2.8,25,100,0.2,"blocked"
"112",2.6,2.6,2.6,2.6,2.8,25,100,0.2,"blocked"
"113",2.4,3,3,3,3,25,100,0.6,"blocked"
"114",3,3,3,3,3.6,25,100,0.6,"blocked"
"115",2.6,3,3,2.8,3,25,100,0.4,"blocked"
"116",2.8,2.8,3,2.8,3,25,100,0.2,"blocked"
"117",3,3,3.2,2.8,2.6,25,100,0.6,"blocked"
"118",3,3.2,2.2,2.8,3,25,100,1,"blocked"
"119",3,3,2.6,3,3,25,100,0.4,"blocked"
"120",2.8,3.2,3.4,3,2.8,25,100,0.6,"blocked"
"121",2.4,2.6,2.4,2.6,2.4,25,100,0.2,"blocked"
"122",3.4,3.6,3.4,3.4,3.4,25,100,0.2,"blocked"
"123",3.4,3.4,3.4,3.4,3,25,100,0.4,"blocked"
"124",3,3.2,3.2,3,3.2,25,100,0.2,"blocked"
"125",2.6,3.4,2.8,3,3.4,25,100,0.8,"blocked"
"126",3,3.2,3.2,3.4,3,25,100,0.4,"blocked"
"127",3,2.8,3,3,3,25,100,0.2,"blocked"
"128",2.8,3.4,2.6,3.4,2.2,25,100,1.2,"blocked"
"129",2.6,3,3.6,3,3,25,100,1,"blocked"
"130",3.4,3.4,3.2,2.6,3.4,25,100,0.8,"blocked"
"131",3.2,2.8,3,2.4,2.6,25,100,0.8,"blocked"
"132",3.2,3.2,3.2,2.6,2.6,25,100,0.6,"blocked"
