"","control","treatment1","treatment2","treatment3","treatment4","treatment5","treatment6","treatment7","treatment8","treatment9","variance","levels","groups","sampled_numbers","repeats","diff","label"
"3075",2.96666666666667,3.19230769230769,3.15384615384615,3.12121212121212,2.60416666666667,2.75,3.02439024390244,3.05882352941176,2.48484848484848,3.11111111111111,2.08495901261859,5,10,330,100,0.707459207459208,"rand"
"3076",2.46666666666667,3.26923076923077,3.07692307692308,2.60606060606061,2.95833333333333,3.15625,3.17073170731707,2.79411764705882,3.15151515151515,2.62962962962963,2.02593718338399,5,10,330,100,0.802564102564102,"rand"
"3077",2.66666666666667,3.30769230769231,3,2.90909090909091,2.875,2.8125,2.82926829268293,3.05882352941176,2.6969696969697,2.77777777777778,1.93806760615271,5,10,330,100,0.641025641025641,"rand"
"3078",2.8,3.61538461538462,2.84615384615385,3.18181818181818,3,3.6875,3.1219512195122,2.67647058823529,2.75757575757576,3.07407407407407,2.06241134751773,5,10,330,100,1.01102941176471,"rand"
"3079",3.23333333333333,3.11538461538462,3.15384615384615,2.81818181818182,2.89583333333333,2.9375,2.97560975609756,2.91176470588235,2.75757575757576,2.66666666666667,2.08142212397532,5,10,330,100,0.566666666666667,"rand"
"3080",3.16666666666667,3.30769230769231,3.26923076923077,3.06060606060606,3.08333333333333,2.875,3.17073170731707,3.14705882352941,3.54545454545455,3.22222222222222,1.99941051855945,5,10,330,100,0.670454545454545,"rand"
"3081",3.13333333333333,3.42307692307692,3.19230769230769,3.18181818181818,2.875,3.1875,3,3,2.66666666666667,2.74074074074074,2.03588468269319,5,10,330,100,0.756410256410256,"rand"
"3082",2.43333333333333,2.57692307692308,2.96153846153846,3.03030303030303,3.0625,2.96875,3.34146341463415,3.20588235294118,3.18181818181818,3.25925925925926,1.99333149120383,5,10,330,100,0.908130081300813,"rand"
"3083",3.06666666666667,2.96153846153846,2.92307692307692,2.66666666666667,2.85416666666667,2.75,3.19512195121951,3.14705882352941,2.51515151515152,2.77777777777778,1.9211936999171,5,10,330,100,0.679970436067997,"rand"
"3084",2.76666666666667,3.07692307692308,3.11538461538462,3.18181818181818,3,2.9375,2.97560975609756,2.79411764705882,2.90909090909091,2.88888888888889,2.02298977618127,5,10,330,100,0.415151515151515,"rand"
"3085",2.83333333333333,3.11538461538462,2.84615384615385,3.09090909090909,3.35416666666667,2.84375,3.31707317073171,3.20588235294118,3,2.92592592592593,2.13006355346781,5,10,330,100,0.520833333333333,"rand"
"3086",2.96666666666667,2.61538461538462,2.46153846153846,3.24242424242424,2.77083333333333,2.75,3.02439024390244,3.20588235294118,3.06060606060606,2.88888888888889,2.062162660035,5,10,330,100,0.780885780885781,"rand"
"3087",2.8,2.5,3,2.84848484848485,3.22916666666667,2.78125,3,3.02941176470588,2.75757575757576,3.11111111111111,1.94606244819011,5,10,330,100,0.729166666666667,"rand"
"3088",2.63333333333333,2.96153846153846,2.88461538461538,3.45454545454545,3.20833333333333,3.0625,2.90243902439024,2.76470588235294,2.60606060606061,2.85185185185185,1.94566639034724,5,10,330,100,0.848484848484849,"rand"
"3089",3.33333333333333,3,3,3.09090909090909,2.95833333333333,2.9375,2.63414634146341,3.05882352941176,2.84848484848485,2.74074074074074,1.93685180068159,5,10,330,100,0.699186991869919,"rand"
"3090",2.7,2.73076923076923,2.76923076923077,2.60606060606061,2.91666666666667,2.71875,2.85365853658537,3.64705882352941,3.27272727272727,2.81481481481481,2.05964815326517,5,10,330,100,1.04099821746881,"rand"
"3091",3,2.76923076923077,2.96153846153846,3.33333333333333,3,3.21875,2.97560975609756,3.17647058823529,3.24242424242424,2.92592592592593,1.95298885511651,5,10,330,100,0.564102564102564,"rand"
"3092",2.9,3.03846153846154,3,3.12121212121212,2.79166666666667,3,2.90243902439024,2.94117647058824,3.24242424242424,3.11111111111111,1.97256148107212,5,10,330,100,0.450757575757576,"rand"
"3093",3.23333333333333,3,2.96153846153846,3.21212121212121,2.79166666666667,2.96875,3.36585365853659,3.14705882352941,3.03030303030303,3.25925925925926,1.94915722575297,5,10,330,100,0.574186991869919,"rand"
"3094",2.96666666666667,3.15384615384615,3.26923076923077,3.06060606060606,3,3.25,2.65853658536585,3.08823529411765,2.72727272727273,3,1.98784194528875,5,10,330,100,0.610694183864915,"rand"
"3095",2.8,2.73076923076923,2.73076923076923,3.06060606060606,2.625,2.9375,2.78048780487805,3.17647058823529,2.51515151515152,2.62962962962963,1.90698167081146,5,10,330,100,0.661319073083779,"rand"
"3096",2.76666666666667,3.38461538461538,3.15384615384615,3.03030303030303,2.72916666666667,2.53125,3.14634146341463,2.97058823529412,2.75757575757576,2.88888888888889,1.80532375425992,5,10,330,100,0.853365384615385,"rand"
"3097",2.53333333333333,3.11538461538462,2.73076923076923,3.15151515151515,3.02083333333333,2.90625,3.19512195121951,2.76470588235294,3.42424242424242,3,2.0273464124528,5,10,330,100,0.890909090909091,"rand"
"3098",2.96666666666667,3.11538461538462,2.69230769230769,2.51515151515152,2.875,2.8125,3.29268292682927,3.17647058823529,2.93939393939394,2.88888888888889,1.99897761812655,5,10,330,100,0.777531411677753,"rand"
"3099",2.6,3.5,2.80769230769231,2.78787878787879,2.60416666666667,3,3.19512195121951,3.26470588235294,2.93939393939394,2.77777777777778,2.04153080961592,5,10,330,100,0.9,"rand"
"3100",2.73333333333333,2.92307692307692,2.88461538461538,3.48484848484848,2.77083333333333,2.78125,3.07317073170732,2.85294117647059,3.15151515151515,2.55555555555556,1.96429953025698,5,10,330,100,0.92929292929293,"rand"
"3101",3.37037037037037,2.9375,2.74285714285714,3.41935483870968,2.83783783783784,2.84375,2.8780487804878,3.22222222222222,3.1025641025641,2.8695652173913,1.91146972063162,5,10,340,100,0.676497695852535,"rand"
"3102",2.59259259259259,3.14583333333333,2.82857142857143,3.51612903225806,2.72972972972973,2.96875,2.95121951219512,3.2962962962963,3.07692307692308,2.73913043478261,2.08256116605934,5,10,340,100,0.923536439665472,"rand"
"3103",2.7037037037037,3.08333333333333,3.08571428571429,2.96774193548387,3,2.84375,3.14634146341463,3,2.74358974358974,2.78260869565217,1.95058129446469,5,10,340,100,0.442637759710931,"rand"
"3104",2.59259259259259,2.8125,3.2,2.87096774193548,3.02702702702703,2.96875,2.90243902439024,2.74074074074074,3.02564102564103,3.08695652173913,1.89723234426514,5,10,340,100,0.607407407407408,"rand"
